Name	Zone Name	Level	HP	Race	Class	Position(s)
infected officer	Kithicor Woods	20 - 22	610 - 650	Highpass Citizen	Warrior	(-486,1429), (-777,761), (753,-312)
infected rat, an	Steamfont Mountains	2	32	Rat, Giant	Warrior	(-1433,1566)
infected rat, an	Toxxulia Forest	2	32	Rat, Giant	Warrior	(1688,457)
Infected Rat	North Kaladim	2	32	Rat, Giant	Warrior	(449,-115)
inferno goblin captain	Solusek's Eye	29	1010	Goblin	Warrior	(81,-683)
inferno goblin shaman	Solusek's Eye	26 - 28	910 - 950	Goblin	Shaman	(-721,-724), (-838,-316), (-795,-362)
inferno goblin torturer	Solusek's Eye	27	910	Goblin	Rogue	(-838,-316)
inferno goblin wizard	Solusek's Eye	26 - 28	890 - 930	Goblin	Wizard	(-1012,-666), (-33,-638), (-845,-566)
inferno goblin	Solusek's Eye	26 - 28	910 - 950	Goblin	Rogue	(32,-562), (57,-667), (83,-696)
inferno goblin	Solusek's Eye	26 - 27	890 - 930	Goblin	Warrior	(-722,-542), (53,-622), (-972,-535)
Ingaria Dinego	South Qeynos	45	5875	Human	Shopkeeper	(323,-585)
Inisis Trimpet	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-118,579)
Initiate Abber	Nektulos Forest	5	115	Halfling	Druid	(567,944)
initiate familiar, an	Castle Mistmoore	21 - 23	511 - 670	Dark Elf	Rogue	(166,402), (-130,381), (-294,137), (-102,453)
initiate familiar, an	Castle Mistmoore	21 - 22	670 - 807	Dark Elf	Warrior	(218,446), (95,540)
Initiate Guanin	Nektulos Forest	6 - 10	187 - 280	Halfling	Druid	(-957,1216), (-947,1220)
Initiate Hart	Nektulos Forest	5	115	Halfling	Druid	(564,1183)
Initiate Pool	Nektulos Forest	6 - 10	166 - 248	Halfling	Druid	(-896,1226)
Initiate Rambel	Nektulos Forest	5	115 - 185	Halfling	Druid	(588,1153)
Initiate Umbra	Nektulos Forest	6 - 10	166 - 275	Halfling	Druid	(-927,1207)
injured brigand, an	Qeynos Aqueduct System	6	130	Human	Rogue	(108,-183)
injured halfling, an	Najena	20	610	Halfling	Warrior	(-49,-74)
Inkeeper Freegraze	Northern Felwithe	40	3250	High Elf	Shopkeeper	(147,-373)
Innkeep Anisyla	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(-246,-434)
Innkeep Blaise	East Commonlands	30	1150	Citizen, Qeynos	Shopkeeper	(332,4842)
Innkeep Calen	East Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(315,4890)
Innkeep Danin	Western Plains of Karana	30	1150	Citizen, Qeynos	Shopkeeper	(-1518,-13006)
Innkeep Darvon	Kithicor Woods	30	1220	Citizen, Qeynos	Shopkeeper	(1138,-672)
Innkeep Disda	Northern Plains of Karana	30	1150	Citizen, Qeynos	Shopkeeper	(118,1382)
Innkeep Dolman	East Commonlands	30	1150	Citizen, Qeynos	Shopkeeper	(1028,3682)
Innkeep Elora	East Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(-182,82)
Innkeep Evelona	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(71,57)
Innkeep Fenia	East Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(1021,3731)
Innkeep Grace	Kithicor Woods	30	1220	Citizen, Qeynos	Shopkeeper	(1095,-683)
Innkeep Gub	The Feerrott	40	3250	Citizen, Oggok	Shopkeeper	(1144,1444)
Innkeep Harold	East Commonlands	30	1150	Citizen, Qeynos	Shopkeeper	(-137,101)
Innkeep Hunter	East Freeport	45	5875	Guard, Freeport	Shopkeeper	(-76,-698)
Innkeep James	Northern Plains of Karana	30	1150	Citizen, Qeynos	Shopkeeper	(156,1379)
Innkeep Juna	East Commonlands	30	1150	Citizen, Qeynos	Shopkeeper	(-325,3023)
Innkeep Jurn	Kithicor Woods	30	1150	Citizen, Qeynos	Shopkeeper	(-280,3821)
Innkeep Larya	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(940,306)
Innkeep Leo	East Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(-318,2977)
Innkeep Linen	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(726,459)
Innkeep Lynnie	Kithicor Woods	30	1150	Citizen, Qeynos	Shopkeeper	(-308,3790)
Innkeep Marnan	Oasis of Marr	30	1150	Citizen, Qeynos	Shopkeeper	(-1320,-260)
Innkeep Min	Kithicor Woods	30	1230	Citizen, Qeynos	Shopkeeper	(1465,2383)
Innkeep Morgan	Kithicor Woods	30	1225	Citizen, Qeynos	Shopkeeper	(1441,2386)
Innkeep Morpa	The Feerrott	40	3250	Citizen, Oggok	Shopkeeper	(1144,-144)
Innkeep Nasumi	East Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-76,-719)
Innkeep Olissa	West Commonlands	30	1150	Citizen, Qeynos	Shopkeeper	(-383,2714)
Innkeep Paggie	East Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-6,-231)
Innkeep Palola	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-186,-62)
Innkeep Rastle	East Freeport	45	5875	Guard, Freeport	Shopkeeper	(-21,-284)
Innkeep Redthorn	West Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(-400,2763)
Innkeep Rille	North Freeport	45	5875	Guard, Freeport	Shopkeeper	(72,72)
Innkeep Rislarn	Western Plains of Karana	30	1150	Citizen, Qeynos	Shopkeeper	(326,-4421)
Innkeep Roster	West Commonlands	30	1150	Citizen, Qeynos	Shopkeeper	(-148,452)
Innkeep Seke	West Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(-103,466)
Innkeep Serge	Rathe Mountains	30	1150	Citizen, Qeynos	Shopkeeper	(4294,831)
Innkeep Stylla	Toxxulia Forest	45	5875	Erudite	Shopkeeper	(2105,404)
Innkeep Tizzy	Oasis of Marr	45	5875	Citizen, Qeynos	Shopkeeper	(-1306,-305)
Innkeep Tozie	Northern Desert of Ro	45	5875	Citizen, Qeynos	Shopkeeper	(3466,489)
Innkeep Troy	Rathe Mountains	30	1150	Citizen, Qeynos	Shopkeeper	(4283,842)
Innkeep Valon	Northern Desert of Ro	30	1150	Citizen, Qeynos	Shopkeeper	(3415,503)
Innkeep Wuleran	Greater Faydark	40	3250	Guard, Faydark	Shopkeeper	(-336,141)
Innkeep	Rivervale	40	3250	Citizen, Rivervale	Warrior	(159,-41)
Innoruuk	Plane of Hate	55	32246	Innoruuk	Wizard	(-65,-196)
insatiable devourer, an	Swamp Of No Hope	21 - 25	690 - 770	Man Eating Plant	Warrior	(2171,-2414), (2705,-398), (-2264,841), (-3332,1301), (1773,-2239)
insatiable gnawer, an	Swamp Of No Hope	17 - 19	510 - 550	Man Eating Plant	Warrior	(-1210,-1574), (2068,449), (-2159,270)
insatiable nibbler, an	Swamp Of No Hope	13 - 15	360 - 400	Man Eating Plant	Warrior	(630,906), (48,1215), (1540,516)
Inudul Dumirgun	Butcherblock Mountains	40	3250	High Elf	Shopkeeper	(2837,-681)
Iony Gredlong	Ak'Anon	50 - 61	27250 - 32344	Gnome	GM Cleric	(1191,-576)
ire ghast, an	Plane of Hate	49 - 51	10100 - 10370	Ghoul	Shadow Knight	(463,25), (-320,83), (274,-12), (181,-113), (304,-2), (-229,151), (351,-22), (272,247)
Irin Lunis	Kithicor Woods	25	965	Half-Elf	Ranger	(617,-223)
iron guardian, an	Nektulos Forest	18 - 22	570 - 650	Golem	Warrior	(1835,1172), (1742,589), (2834,631), (1850,309), (911,987)
Iron Guardian	The Overthere	50	9550	Golem	Warrior	(3045,2154)
Iron Sentinel	The Overthere	50	9550	Golem	Warrior	(2909,2096)
Isabella Cellus	High Keep	38 - 42	2471 - 2551	Human	Warrior	(-56,-322), (30,-305)
Isabella Cellus	Qeynos Hills	38	2471	Human	Warrior	(370,93)
Iseba Gargurd	East Freeport	45	5875	Guard, Freeport	Shopkeeper	(61,-881)
Ishen Lelelan	Paineel	50	9550	Erudite	Shopkeeper	(1212,523)
Iskopa	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(510,-235)
Islan Hetston	Toxxulia Forest	24	770	Citizen, Erudin	Shopkeeper	(2251,1008)
island goblin headhunte, an	Ocean of Tears	22 - 24	730 - 750	Goblin	Warrior	(-1205,-8573)
isle goblin chieftan	Ocean of Tears	24 - 26	790 - 850	Goblin	Warrior	(-846,-8550)
isle goblin headhunter, an	Ocean of Tears	22 - 24	730 - 769	Goblin	Warrior	(-1030,-8466), (-1222,-8600), (-1061,-8700)
isle goblin shaman, an	Ocean of Tears	9 - 11	163 - 204	Goblin	Shaman	(-1212,-8456), (-1236,-8512), (-748,-8639)
isle goblin warrior, an	Ocean of Tears	20 - 22	650 - 689	Goblin	Warrior	(1372,-5594), (1362,-5755), (-695,-8607)
isle goblin wizard, an	Ocean of Tears	14 - 16	224 - 264	Goblin	Wizard	(-846,-8550), (-944,-8603)
isle goblin, an	Ocean of Tears	14 - 20	410 - 590	Goblin	Warrior	(-864,-8504), (-1222,-8600), (-926,-8483), (-837,-8530), (1372,-5594), (-961,-8815)
Isobelle Losiwoo	South Qeynos	45	5875	Human	Shopkeeper	(326,-633)
Issibla Belstince	Erudin	35	1675	Erudite	Shopkeeper	(-1030,-373)
Issilyn Ristan	East Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(72,-213)
Isslana	Oasis of Marr	35	1675	Citizen, Qeynos	Shopkeeper	(517,71)
Issva H`Rugla	Neriak - Commons	37	2179	Dark Elf	Shopkeeper	(-73,-1122)
Isvan S`Lon	Neriak - Commons	10	240	Dark Elf	Warrior	(-271,-1028)
Isyna Firspanyl	Northern Felwithe	40	3250	High Elf	Shopkeeper	(2,-467)
Itzia Vunpe	East Freeport	45	6059 - 6219	Citizen, Qeynos	Shopkeeper	(-159,-254)
Iva Tersala	Paineel	50	12000	Erudite	Shopkeeper	(970,649)
Ivie Bramblefoot	Lesser Faydark	20	475	Brownie	Druid	(729,2958)
Izarod Fristan	Cabilis West	50	9550	Iksar	Necromancer	(325,790)
Izbal Brightblaze	Butcherblock Mountains	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(-1303,-3077), (-1286,-1971), (-1249,-1983)
Jabartik	Butcherblock Mountains	27	860	Skeleton	Warrior	(-1301,-3077)
Jac MacGrove	Halas	45	5875	Citizen, Halas	Shopkeeper	(198,407)
jack o lantern, a	Estate of Unrest	12 - 14	310 - 350	Scarecrow	Warrior	(688,-257), (513,-282), (462,255)
jackal, a	Northern Desert of Ro	3 - 5	50 - 90	Wolf	Warrior	(989,955), (1693,202), (393,-481)
jackal, a	Southern Desert of Ro	3 - 5	50 - 90	Wolf	Warrior	(-1850,772), (-2682,-245), (-2143,139)
Jacker	Neriak - Foreign Quarter	44	5266	Ogre	Shadow Knight	(-260,-236)
Jade	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-170,208)
Jagen Kindlor	Erudin	45	5875	Citizen, Erudin	Shopkeeper	(-700,-283)
Jail Clerk Maryl	High Keep	40	3250	Citizen, Qeynos	Shopkeeper	(3,-363)
Jairnel Marfury	Field of Bone	30	1215	Ghost, Erudite	Paladin	(2226,922)
Jak Sindin	East Freeport	4 - 6	80 - 120	Beggar, Human	Rogue	(-150,-238)
Jakom Herolon	West Freeport	35	1675	Human	Warrior	(-410,-298)
Jakum Webdancer	Greater Faydark	25	810	Wood Elf	Bard	(-229,265)
Jaleel Hoglomp	East Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(44,-745)
Jalen Goldsinger	Toxxulia Forest	40	3250	Erudite	Enchanter	(1525,-838)
Jallen Nooz	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-103,-198)
Janam Rekish	West Freeport	14	380	Half-Elf	Rogue	(-155,-724)
Jarah Reskan	Ak'Anon	45 - 61	5875 - 32000	Gnome	GM Warrior	(836,-468)
Jarel Ranin	West Freeport	45	5875	Guard, Freeport	Shopkeeper	(158,-733)
Jargo	Oggok	43 - 61	4719 - 32020	Ogre	GM Shaman	(747,878)
Jarlok	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(390,-301)
Jarra	Erud's Crossing	14	390	Kerra	Warrior	(-1334,746)
Jars Legola	Innothule Swamp	11	270	High Elf	Warrior	(110,-499)
Jars Legola	Rathe Mountains	11	270	High Elf	Warrior	(3943,-1365)
Jarvah	Neriak - Foreign Quarter	40	3250	Troll	Shopkeeper	(-221,-365)
Jasma Tather	Neriak - Foreign Quarter	40	3250	Human	Shopkeeper	(147,-186)
Jaxxtz	Cabilis West	30	1150	Citizen, Iksar	Shopkeeper	(-40,513)
Jayla Nybright	Lesser Faydark	8 - 12	145 - 225	Half-Elf	Rogue	(-780,2704)
Jayna D`Bious	Neriak - Commons	50	27000	Dark Elf	GM Magician	(149,-968)
Jebekn	Solusek's Eye	16	470	Skeleton	Warrior	(-311,-1172)
Jeena Firechaser	Kithicor Woods	30	1150	High Elf	Shopkeeper	(-215,3813)
jeering gargoyle, a	Castle Mistmoore	28 - 30	990 - 1147	Gargoyle	Warrior	(-233,8), (-341,-65), (-254,134), (-210,-119)
Jeet	North Kaladim	40 - 61	3250 - 32000	Dwarf	GM Rogue	(563,194)
Jekel Enhied	North Freeport	28	960	Citizen, Qeynos	Shopkeeper	(-116,556)
Jelda Needlefinger	East Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(-181,162)
Jeliala Glimmercharm	Erudin Palace	45	5875	Erudite	Shopkeeper	(507,765)
Jemoz Lerkarson	North Freeport	43 - 61	4885 - 32344	Human	GM Cleric	(60,350)
Jenah Wheelspinner	Lavastorm Mountains	35	1675	Citizen, Qeynos	Shopkeeper	(-372,923)
Jengo Smirt	Lavastorm Mountains	35	1675	Citizen, Qeynos	Shopkeeper	(-359,951)
Jenkin Fleetmore	Paineel	50	9550	Erudite	Shopkeeper	(1097,439)
Jenna Smith	East Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-165,-170)
Jessica Winter	Firiona Vie	45	5875 - 5992	Wood Elf	Shopkeeper	(-3425,3310)
Jexun Elsorg	Qeynos Aqueduct System	38	2494	Citizen, Qeynos	Shopkeeper	(402,-417)
Jheron Felkis	East Freeport	50	12000	Human	Magician	(67,-470)
Jil McDaniel	Halas	45	5875	Citizen, Halas	Shopkeeper	(325,-288)
Jillian Dayson	East Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(158,-370)
jin ghoul wizard, a	Ruins of Old Guk	42 - 46	2856 - 2936	Froglok Ghoul	Wizard	(1540,-731), (1542,-764)
Jinkus Felligan	Halas	39	2871	Barbarian	GM Shaman	(354,376)
Jo Jo	Kerra Isle	18	750	Tiger	Warrior	(888,246)
Jober	Lake Rathetear	4	70	Skeleton	Warrior	(2547,-2237)
Joffin Sinclay	West Freeport	35	1675	Human	Warrior	(-244,-34)
Joffrey Clay	South Qeynos	27 - 61	910 - 32000	Human	GM Bard	(540,-153), (521,-139)
Jogl Doobraugh	Steamfont Mountains	32	1319	Gnome	Wizard	(1501,407)
Jokca	Grobb	40 - 61	5895 - 32020	Troll	GM Shaman	(331,-476)
Jonah Brucker	Lake Rathetear	15	317	Beggar, Human	Monk	(-942,2418)
Jonartik	Kurn's Tower	7	170	Skeleton	Warrior	(-283,58)
Jonbe Kressi	West Freeport	45	5875	Guard, Freeport	Shopkeeper	(139,-752)
Jondin	Cabilis West	30	1150	Citizen, Iksar	Shopkeeper	(-35,508)
Jonly Smithin	Toxxulia Forest	10	240	Erudite	Enchanter	(810,552)
Joogl Honeybugger	Misty Thicket	9 - 11	233 - 273	Halfling	Druid	(-851,-2263)
Jorna	Lake Rathetear	10	240	Citizen, Qeynos	Warrior	(3618,146)
Joryd Longarms	East Commonlands	45	5875	Citizen, Qeynos	Shopkeeper	(985,3765)
Josin Faithbringer	Plane of Sky	55	32000	Efreeti	Warrior	(1350,660)
Josper Kenshed	Erudin Palace	42 - 61	4174 - 32000	Erudite	GM Wizard	(917,744)
Jossle	Nektulos Forest	6 - 10	166 - 235	Halfling	Warrior	(-1792,1201)
Jovan	Highpass Hold	35	1845	Human	Cleric	(-197,0)
Joyce	Temple of Solusek Ro	34 - 36	1655 - 1695	High Elf	Wizard	(424,86)
Jozter	Cabilis East	15	600	Citizen, Iksar	Warrior	(650,-22)
Jracol Brestiage	North Qeynos	12	232	Dark Elf	Rogue	(919,-1034)
Jras Solsier	Erudin	34 - 61	1555 - 32250	Erudite	GM Paladin	(-601,-134)
Jucra V`Lask	Neriak - Commons	42	4174	Dark Elf	GM Magician	(133,-875)
Judge Monosty	Erudin Palace	45	5875	Citizen, Erudin	Shopkeeper	(689,829)
judicator of Di`zok	Chardok	52 - 54	11334 - 13266	Sarnak	Shaman	(-609,928), (-624,1075), (-543,1313)
Judicla Riverfield	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(70,-33)
Juegile Sohgohm	South Qeynos	37 - 61	2179 - 32000	Human	GM Magician	(330,-644)
Juk Hidebeater	Oggok	40	3250	Citizen, Oggok	Shopkeeper	(368,-201)
Julie	Eastern Plains of Karana	45	5875	Human	Shopkeeper	(-890,-140)
Juline Urncaller	Ak'Anon	50 - 61	27000 - 32000	Gnome	GM Enchanter	(1096,-978)
jungle spider, a	The Feerrott	3 - 5	50 - 90	Spider, Giant	Warrior	(-48,1662), (772,2710), (-1140,2851)
jungle spiderling, a	The Feerrott	1 - 3	20 - 52	Spider, Giant	Warrior	(-779,-2365), (-1193,-2467), (305,-1699)
Juni Sandfisher	Northern Desert of Ro	45	5875	Barbarian	Shopkeeper	(2185,-753)
Junice Weslent	Erudin	35	1675	Erudite	Shopkeeper	(-697,-53)
Junth McMannus	Western Plains of Karana	20	610	Barbarian	Warrior	(-3602,-2169)
Jusean Evanesque	South Qeynos	41 - 61	3691 - 32000	Human	GM Bard	(554,-122)
Jusia Vapious	North Freeport	28	1067 - 1210	Citizen, Qeynos	Shopkeeper	(244,-132)
Justin Ryhmes	High Keep	45	5875	Human	Shopkeeper	(62,-220)
Jyle Windshot	West Freeport	30	1150 - 1220	Human	Ranger	(-158,-531)
Jyle Windshot	East Freeport	3 - 5	50 - 90	Human	Rogue	(-205,-881)
Jyle Windstorm	Innothule Swamp	8	190	High Elf	Warrior	(-991,-610)
Jyle Windstorm	Rathe Mountains	8	190	High Elf	Warrior	(3943,-1365)
Jynsa Smithson	West Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-177,-338)
Kabaner	Lake Rathetear	3	50	Skeleton	Warrior	(2543,-2237)
Kadek Norkhitter	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(583,238)
Kaden Gron	Highpass Hold	31	905	Barbarian	Rogue	(352,-226)
Kafia Ratsbone	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(594,238)
Kagbkek	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(210,-213)
Kaglari	Grobb	50 - 61	27020 - 32020	Troll	GM Shaman	(16,-488)
Kaila  Rucksack	Butcherblock Mountains	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(2795,-696)
Kala	Erud's Crossing	15	410	Kerra	Warrior	(-1312,753)
Kalameky Darkfoam	South Kaladim	38 - 41	3210 - 3270	Citizen, Kaladim	Shopkeeper	(173,389)
Kalamin Norkhitter	North Kaladim	9 - 11	220 - 260	Dwarf	Warrior	(701,389)
Kalatrina Plossen	North Freeport	46 - 61	6637 - 32250	Human	GM Paladin	(185,-45)
Kamzar	Cabilis West	30	1150	Citizen, Iksar	Shopkeeper	(184,544)
Kane Bayle	North Qeynos	40	3250	Human	GM Warrior	(270,202)
Kar O`Dansin	Halas	45	5875	Citizen, Halas	Shopkeeper	(510,-504)
Karam Dragonforge	Rathe Mountains	45	3250	Dwarf	Shopkeeper	(4109,918)
Karn Tassen	South Qeynos	10	240	Citizen, Qeynos	Shopkeeper	(-164,-254)
Karnan	Neriak - Foreign Quarter	47	7219	Troll	Warrior	(-315,-313)
Kasine Paegra	South Qeynos	42 - 61	4281 - 32250	Human	GM Paladin	(-245,-476)
Kasn	Solusek's Eye	18	510	Skeleton	Warrior	(-311,-1173)
Katha Firespinner	East Commonlands	30	1150	Erudite	Shopkeeper	(234,4731)
Kathar Varselli	Erudin	24	770	Citizen, Erudin	Shopkeeper	(-1065,-416)
Kathryn	Rathe Mountains	10	240	Citizen, Qeynos	Warrior	(4198,1057)
Kaxon Frennor	Ak'Anon	50 - 61	27000 - 32000	Gnome	GM Rogue	(2069,-508)
Kaydin Gaxx	Firiona Vie	40	3250 - 3369	High Elf	Shopkeeper	(-2823,2744)
Kayla Nybright	Lesser Faydark	8 - 12	145 - 225	Half-Elf	Rogue	(-723,2649)
Kazlo Naedra	South Qeynos	37 - 61	2179 - 32000	Human	GM Wizard	(-77,-267), (103,-209)
Kazu Kolden	South Qeynos	10	240	Human	Rogue	(267,-178)
Kazzel D`Leryt	Rathe Mountains	50	5252	Dark Elf	Necromancer	(-632,-1552)
Kebekab	Lavastorm Mountains	37	1198	Invisible Man	Warrior	(753,1272)
Kedryll Tindle	Rathe Mountains	9 - 12	220 - 280	Human	Warrior	(3865,-1327)
Keeper Bile	Cabilis West	30	1150	Citizen, Iksar	Shopkeeper	(-378,253)
Keeper Pain	Cabilis West	30	1150	Citizen, Iksar	Shopkeeper	(-452,253)
Keeper Pestilence	Cabilis West	30	1150	Citizen, Iksar	Shopkeeper	(-411,229)
Keeper Plight	Cabilis West	30	1150	Citizen, Iksar	Shopkeeper	(-390,232)
Keeper Rott	Cabilis West	30	1150	Citizen, Iksar	Shopkeeper	(-441,234)
Keeper Suffering	Cabilis West	50	9550 - 9800	Citizen, Iksar	Shopkeeper	(-380,270)
keeper, a	Temple of Solusek Ro	34 - 36	1655 - 1695	High Elf	Wizard	(330,12), (371,12)
keeper, a	Temple of Solusek Ro	35	1675	Human	Wizard	(330,12), (371,12)
Keeshla Levlora	Paineel	14	209	Erudite	Necromancer	(835,721)
Kejar the Mighty	The Hole	41	4760	Imp	Warrior	(-34,219)
Kekn	The Overthere	15	400	Skeleton	Warrior	(-1216,-1344)
Keldyn Dunfire	Butcherblock Mountains	6 - 8	140 - 180	Dwarf	Rogue	(275,1672)
Keletha Nightweaver	Paineel	50	9550	Erudite	Shopkeeper	(734,861)
Kelkarn	Paineel	50	9550	Skeleton	Bard	(953,830)
Kelsi Q`Grinol	The Overthere	40	3497	Dark Elf	Shopkeeper	(2819,2365)
Kendall Copperhold	South Qeynos	45	5875	Citizen, Qeynos	Banker	(339,-438)
Kentik	West Freeport	35	937	Elemental	Warrior	(-369,-275)
kerra lion, a	Kerra Isle	19	895	Lion	Warrior	(430,-281)
kerra puma, a	Kerra Isle	15 - 17	655 - 715	Boat	Warrior	(768,-215), (-436,-213), (-611,-243)
kerra snake, a	Erud's Crossing	7 - 9	170 - 210	Snake, Giant	Warrior	(-1013,1579), (-1086,1216), (-1048,1553)
kerra spider, a	Erud's Crossing	10 - 11	250 - 270	Spider, Giant	Warrior	(-1437,1202), (-998,1650)
kerran `amir, a	Kerra Isle	19 - 21	450 - 510	Kerra	Monk	(-301,-257), (-545,-118), (-311,-195)
kerran ademzada shaman, a	Kerra Isle	18 - 19	550 - 570	Kerra	Shaman	(910,118), (892,143)
kerran ademzada, a	Kerra Isle	19	448	Kerra	Monk	(921,147)
kerran ademzada`amir, a	Kerra Isle	20 - 21	630 - 650	Kerra	Warrior	(556,220), (516,209)
kerran ahmad shaman, a	Kerra Isle	20 - 21	630 - 650	Kerra	Shaman	(560,192)
kerran amira guardian, a	Kerra Isle	21	716	Kerra	Shaman	(490,400)
kerran amira priestess, a	Kerra Isle	21 - 23	756 - 798	Kerra	Cleric	(508,407)
kerran amira protector, a	Kerra Isle	20 - 21	557 - 576	Kerra	Monk	(490,400), (530,400)
kerran awrat, a	Kerra Isle	11 - 13	300 - 340	Kerra	Shaman	(-77,181), (693,-667), (392,-647)
Kerran catfisher	Kerra Isle	3	52	Kerra	Warrior	(415,-933)
Kerran Chieftain	Kerra Isle	17	510	Kerra	Warrior	(903,348)
Kerran Clawknight, a	Kerra Isle	12	316	Kerra	Warrior	(405,-97)
Kerran female, a	Kerra Isle	4 - 6	64 - 104	Kerra	Shaman	(379,-625), (230,-60), (772,-190)
kerran ghazi shaman, a	Kerra Isle	17 - 19	530 - 570	Kerra	Shaman	(706,305), (654,375), (694,110)
kerran ghazi, a	Kerra Isle	18 - 19	550 - 570	Kerra	Shaman	(808,379), (764,341)
kerran ghulam, a	Kerra Isle	14 - 17	296 - 400	Kerra	Monk	(260,167), (466,-74), (477,-93), (608,-113)
kerran gorilla shaman, a	Kerra Isle	17 - 18	510 - 530	Gorilla	Shaman	(905,378)
kerran gorilla, a	Kerra Isle	16 - 18	490 - 530	Gorilla	Warrior	(880,385), (905,378)
Kerran high guard, a	Kerra Isle	13 - 15	380 - 400	Kerra	Warrior	(889,168), (888,195)
Kerran high guard	Kerra Isle	14	396	Kerra	Warrior	(-135,240)
Kerran Huntress, a	Kerra Isle	9 - 10	163 - 184	Kerra	Shaman	(265,26), (34,-99)
Kerran huntress, a	Kerra Isle	9 - 11	163 - 204	Kerra	Shaman	(386,-7), (35,-108), (110,133)
kerran ispusar, a	Kerra Isle	15 - 16	430 - 450	Kerra	Shaman	(531,-105), (857,-22)
Kerran keeper, a	Kerra Isle	10 - 11	240 - 260	Kerra	Warrior	(622,285)
Kerran male, a	Kerra Isle	4 - 6	80 - 135	Kerra	Warrior	(259,53), (693,-668), (669,-674)
kerran mamluk, a	Kerra Isle	11 - 13	211 - 271	Kerra	Monk	(483,-646), (526,-502), (474,-511)
kerran mujahed, a	Kerra Isle	19 - 21	610 - 650	Kerra	Shaman	(-506,-98), (-596,-150), (486,290)
kerran pasdar, a	Kerra Isle	17 - 19	388 - 448	Kerra	Monk	(410,-206), (386,-206), (787,341)
kerran pazdar shaman, a	Kerra Isle	17 - 19	530 - 570	Kerra	Shaman	(930,212), (938,330)
kerran pazdar, a	Kerra Isle	17 - 19	408 - 448	Kerra	Monk	(800,119), (888,168), (783,152)
kerran pazdar, a	Kerra Isle	20	630	Kerra	Warrior	(529,152)
Kerran pridesman, a	Kerra Isle	9 - 11	240 - 280	Kerra	Warrior	(808,379), (722,313), (280,160)
Kerran Pridesman, a	Kerra Isle	10 - 11	240 - 280	Kerra	Warrior	(328,79), (27,-96)
Kerran Priestess, a	Kerra Isle	12	225	Kerra	Shaman	(468,440)
kerran puzhal, a	Kerra Isle	16 - 17	420 - 440	Kerra	Ranger	(886,225), (909,252)
Kerran scout	Kerra Isle	1 - 3	20 - 72	Kerra	Warrior	(-129,240), (415,-933)
kerran sha`rr apprentice, a	Kerra Isle	21 - 23	670 - 730	Kerra	Shaman	(903,348)
Kerran Sha`rr, The	Kerra Isle	22	950	Kerra	Warrior	(903,348)
kerran tiger spahi	Kerra Isle	22	945	Kerra	Warrior	(-502,-149)
kerran tseq	Kerra Isle	12	231	Kerra	Monk	(240,-162)
Kerran warrior	Kerra Isle	5	119	Kerra	Warrior	(-129,240)
Kervis Ackblor	Paineel	50	9550	Erudite	Shopkeeper	(1097,428)
Kestall Tulenci	Erudin Palace	24	770	Citizen, Erudin	Shopkeeper	(728,954)
Kevan McPherson	Halas	45	5875	Citizen, Halas	Shopkeeper	(210,-323)
Kevlin Diggs	Rivervale	35	1675	Citizen, Rivervale	Shopkeeper	(-154,-220)
Kevon McTarnigal	Halas	45	5875	Citizen, Halas	Banker	(199,112)
Key Master	Plane of Sky	55	14275	Dwarf	Shopkeeper	(1385,601)
Khensol Undesta	South Qeynos	38	2494	Citizen, Qeynos	Shopkeeper	(288,-622)
Khonza Mitty of Kerra	Kerra Isle	23	1150	Kerra	Cleric	(508,407)
